ageb_id,municipio,population,grade,index_value,index_normalized
0900200010858,Azcapotzalco,4395,Bajo,123.099946492999,0.961610625092437
0900200010877,Azcapotzalco,821,Alto,118.009976067255,0.921849684635165
0900200010881,Azcapotzalco,5207,Bajo,121.284305653871,0.947427519640342
0900200010896,Azcapotzalco,1532,Muy bajo,124.423750244137,0.971951683629811
0900200010909,Azcapotzalco,1810,Muy bajo,124.520418841137,0.972706822463218
0900200010913,Azcapotzalco,3311,Bajo,123.210640695888,0.962475326700088
0900200010928,Azcapotzalco,1841,Bajo,122.095858492299,0.953767066118545
0900200010932,Azcapotzalco,408,Alto,117.333188752144,0.916562875894141
0900200010947,Azcapotzalco,4456,Bajo,123.342410075713,0.963504659687726
0900200010966,Azcapotzalco,2047,Muy bajo,124.603775331384,0.973357972110114
0900200010970,Azcapotzalco,2953,Muy bajo,124.530842839907,0.972788250833087
0900200010985,Azcapotzalco,2334,Muy bajo,123.770931496211,0.966852108348505
090020001099A,Azcapotzalco,1337,Muy bajo,123.754829220068,0.966726323404905
0900200011004,Azcapotzalco,7559,Bajo,123.37084116073,0.963726752663502
0900200011019,Azcapotzalco,1689,Bajo,122.758823983495,0.958945903953698
0900200011023,Azcapotzalco,7644,Bajo,123.063609207635,0.961326771844012
0900200011038,Azcapotzalco,7053,Bajo,122.012353034975,0.953114752796697
0900200011042,Azcapotzalco,5802,Bajo,122.118855764198,0.953946712183678
0900200011057,Azcapotzalco,2418,Muy bajo,124.039964572753,0.968953693867217
0900200011061,Azcapotzalco,1719,Bajo,121.467465928384,0.948858299028019
0900200011080,Azcapotzalco,5000,Muy bajo,124.794535648892,0.974848120183999
0900200011095,Azcapotzalco,7035,Bajo,123.691851523658,0.966234365254335
0900200011112,Azcapotzalco,4239,Muy bajo,123.781688481799,0.966936137886534
0900200011127,Azcapotzalco,2837,Muy bajo,124.924885530036,0.975866364580187
0900200011131,Azcapotzalco,2543,Muy bajo,124.899484228087,0.975667939133707
0900200011146,Azcapotzalco,927,Muy bajo,124.681612759863,0.973966008915882
0900200011150,Azcapotzalco,3486,Muy bajo,124.190322445943,0.970128233195182
0900200011165,Azcapotzalco,400,Alto,118.597609566681,0.926440057196697
090020001117A,Azcapotzalco,1602,Muy bajo,124.230864031162,0.970444928857648
0900200011184,Azcapotzalco,1433,Muy bajo,125.248676164975,0.978395695613495
0900300010018,Coyoacán,1658,Muy bajo,123.734750890418,0.96656947902214
0900300010022,Coyoacán,1569,Muy bajo,124.258377834276,0.970659856371148
0900300010037,Coyoacán,1428,Muy bajo,124.575776625225,0.973139256715855
0900300010041,Coyoacán,3006,Muy bajo,124.518709091287,0.972693466538469
0900300010056,Coyoacán,3895,Muy bajo,124.57833979226,0.973159279215656
0900300010060,Coyoacán,4299,Bajo,123.246513389586,0.962755550732617
0900300010075,Coyoacán,2825,Muy bajo,123.76523681383,0.966807623624997
090030001008A,Coyoacán,2297,Muy bajo,125.360158744092,0.979266555720631
0900300010094,Coyoacán,3531,Muy bajo,124.385595647183,0.971653634224651
0900300010107,Coyoacán,6992,Muy bajo,123.83804419305,0.967376367571989
0900300010111,Coyoacán,1380,Bajo,123.20609523498,0.962439819263816
0900300010126,Coyoacán,1803,Bajo,123.393796351933,0.963906070010028
0900300010130,Coyoacán,2171,Muy bajo,123.770431140152,0.966848199754586
0900300010145,Coyoacán,2090,Muy bajo,125.038187701862,0.976751438663304
090030001015A,Coyoacán,5065,Muy bajo,123.773169164735,0.966869588175993
0900300010164,Coyoacán,2900,Muy bajo,125.251699150808,0.978419310045339
0900300010179,Coyoacán,2198,Muy bajo,125.040942467437,0.976772957859066
0900300010183,Coyoacán,2789,Muy bajo,125.244824588501,0.978365608542244
0900300010198,Coyoacán,1649,Muy bajo,124.303437159351,0.971011842923425
0900300010200,Coyoacán,5523,Muy bajo,124.928477878706,0.97589442666103
0900300010215,Coyoacán,6100,Muy bajo,123.830849022715,0.967320161599194
090030001022A,Coyoacán,8705,Bajo,122.474829846787,0.95672744824269
0900300010234,Coyoacán,710,Muy bajo,125.537379842916,0.980650940494754
0900300010249,Coyoacán,740,Muy bajo,125.457476776201,0.980026767697611
0900300010268,Coyoacán,1305,Muy bajo,124.680586353589,0.973957991014924
0900300010272,Coyoacán,3327,Muy bajo,125.38415756998,0.979454025549995
0900300010287,Coyoacán,8213,Bajo,122.015687163759,0.953140797760609
0900300010291,Coyoacán,4212,Bajo,122.465362383306,0.956653491967847
0900300010304,Coyoacán,1968,Muy bajo,124.02998480548,0.968875735667245
0900300010319,Coyoacán,2494,Bajo,123.051575238782,0.961232766991524
0900300010323,Coyoacán,2398,Muy bajo,124.137871717204,0.969718507768922
0900300010342,Coyoacán,3376,Muy bajo,125.06227872632,0.97693962871333
0900300010357,Coyoacán,4074,Medio,119.335505678174,0.932204224942024
0900300010361,Coyoacán,1977,Muy bajo,124.221306062563,0.97037026559076
0900300010376,Coyoacán,1268,Muy bajo,126.109947320114,0.985123622939721
0900300010380,Coyoacán,2851,Muy bajo,125.515294845258,0.980478420773922
0900300010395,Coyoacán,2301,Muy bajo,124.719574440804,0.974262551333483
0900300010408,Coyoacán,1576,Muy bajo,125.586460899133,0.981034343302744
0900300010412,Coyoacán,3853,Muy bajo,125.026553466281,0.976660556377263
0900300010427,Coyoacán,2116,Muy bajo,124.109926421276,0.969500209595357
0900300010431,Coyoacán,5344,Bajo,122.549811303879,0.957313175270836
0900300010446,Coyoacán,5501,Bajo,123.637915584706,0.965813037922777
0900300010450,Coyoacán,6576,Bajo,123.656782164737,0.96596041657187
0900300010465,Coyoacán,1476,Muy bajo,124.320210574138,0.971142870550465
0900300010484,Coyoacán,1003,Muy bajo,125.616016076036,0.981265217262851
0900300010499,Coyoacán,2502,Muy bajo,125.420363143768,0.979736849916977
0900300010501,Coyoacán,3477,Muy bajo,124.076870110476,0.969241986090003
0900300010516,Coyoacán,1436,Muy bajo,123.859625590188,0.967544953354379
0900300010520,Coyoacán,2615,Bajo,122.80517649474,0.95930799239145
0900300010535,Coyoacán,7676,Medio,120.520802174315,0.941463316737314
090030001054A,Coyoacán,784,Muy bajo,124.850712100746,0.97528694956226
0900300010554,Coyoacán,4591,Muy bajo,123.745100817935,0.96665032877515
0900300010573,Coyoacán,12827,Bajo,122.428394488204,0.956364712632598
0900300010588,Coyoacán,1779,Muy bajo,124.932152025071,0.9759231277148
0900300010605,Coyoacán,3621,Medio,118.936565953613,0.929087857398102
090030001061A,Coyoacán,10554,Bajo,122.314168255131,0.955472420129498
0900300010624,Coyoacán,9838,Bajo,121.207881411318,0.946830522113154
0900300010639,Coyoacán,12525,Bajo,121.582196105055,0.949754528149546
0900300010643,Coyoacán,8559,Medio,121.044878434644,0.945557203978116
0900300010658,Coyoacán,10461,Bajo,121.599229324249,0.949887585271206
0900300010662,Coyoacán,5469,Bajo,121.971048866992,0.952792100123611
0900300010677,Coyoacán,8113,Bajo,122.603461788685,0.957732272741636
0900300010681,Coyoacán,4561,Bajo,123.671973954586,0.966079089137931
0900300010696,Coyoacán,2382,Muy bajo,123.982845972448,0.968507504778525
0900300010709,Coyoacán,3117,Bajo,122.850681978193,0.959663464165688
0900300010713,Coyoacán,4685,Muy bajo,124.583953981293,0.97320313515532
0900300010728,Coyoacán,3836,Muy bajo,123.796301417072,0.9670502886577
0900300010770,Coyoacán,326,Bajo,123.335394987542,0.963449860449269
0900300010785,Coyoacán,11640,Medio,120.720000999501,0.943019383269119
090030001079A,Coyoacán,9058,Medio,120.677424975683,0.942686795335136
0900300010802,Coyoacán,13042,Medio,120.720372967688,0.943022288945124
0900300010817,Coyoacán,10152,Bajo,121.784979010852,0.951338592175223
0900300010821,Coyoacán,5221,Bajo,122.244678761492,0.954929594260609
0900300010836,Coyoacán,6381,Bajo,121.199629038514,0.946766057671072
0900300010840,Coyoacán,6633,Bajo,122.702314599963,0.958504473838006
0900300010855,Coyoacán,2696,Bajo,123.327448929388,0.963387788822383
090030001086A,Coyoacán,2670,Muy bajo,124.205733627533,0.970248619567267
0900300010889,Coyoacán,2647,Muy bajo,124.672124172995,0.973891887633058
0900300010893,Coyoacán,1749,Muy bajo,125.238948673481,0.978319708097311
0900300010906,Coyoacán,3324,Muy bajo,124.265030908253,0.970711827690451
090030001093A,Coyoacán,1211,Muy bajo,124.979452732689,0.976292623107079
0900300010959,Coyoacán,4224,Bajo,121.249495388655,0.947155594900747
0900300010963,Coyoacán,6516,Bajo,121.955681538883,0.952672056318472
0900300010978,Coyoacán,8080,Bajo,121.764621873051,0.951179569847722
0900300010982,Coyoacán,6525,Bajo,122.804439995937,0.959302239138956
0900300010997,Coyoacán,9422,Bajo,121.994193203215,0.952972895000105
0900300011001,Coyoacán,6521,Bajo,121.314715045703,0.947665066407191
0900300011016,Coyoacán,6606,Bajo,121.707856363589,0.950736138972308
0900300011020,Coyoacán,4471,Muy bajo,124.299229824736,0.970978976802969
0900300011069,Coyoacán,1633,Muy bajo,124.835252903957,0.975166188113438
0900300011073,Coyoacán,1616,Muy bajo,124.871076391503,0.975446027765962
0900300011092,Coyoacán,5787,Muy bajo,124.866667853672,0.975411589921428
0900300011105,Coyoacán,2795,Muy bajo,125.717471471735,0.982057748772873
0900300011124,Coyoacán,5743,Bajo,121.480389340648,0.948959251878929
0900300011139,Coyoacán,691,Muy bajo,124.391523335633,0.97169993910421
0900300011143,Coyoacán,540,Muy bajo,124.676427499321,0.973925503604767
0900300011158,Coyoacán,8986,Bajo,122.443984928769,0.956486499308579
0900300011162,Coyoacán,14061,Bajo,121.696428322843,0.950646867402993
0900300011181,Coyoacán,4132,Muy bajo,124.061011594324,0.969118105308052
0900300011213,Coyoacán,5772,Muy bajo,124.392021957311,0.971703834149792
0900300011228,Coyoacán,2280,Medio,119.143829137517,0.930706919676439
0900300011232,Coyoacán,3022,Bajo,122.986576880767,0.960725024190158
0900300011247,Coyoacán,5019,Bajo,123.330024194454,0.963407905827474
0900300011251,Coyoacán,2321,Bajo,123.477141849005,0.964557133782359
0900300011266,Coyoacán,2811,Bajo,123.007493771717,0.960888419099365
0900300011270,Coyoacán,4167,Bajo,122.558885928362,0.957384062834729
0900300011285,Coyoacán,3625,Muy bajo,123.989716491878,0.968561174700183
090030001129A,Coyoacán,3454,Muy bajo,124.389494972898,0.97168409429507
0900300011302,Coyoacán,1973,Muy bajo,124.162661335588,0.969912154972753
0900300011317,Coyoacán,2754,Bajo,123.260961945815,0.962868417436326
0900300011321,Coyoacán,3755,Bajo,123.458485157945,0.964411394707215
0900300011336,Coyoacán,2908,Bajo,122.166032213929,0.954315236919948
0900300011340,Coyoacán,2546,Muy bajo,125.169905840529,0.977780371374231
0900300011355,Coyoacán,2461,Muy bajo,124.475191620276,0.972353524372014
090030001136A,Coyoacán,2243,Muy bajo,125.258103925106,0.978469341740652
0900300011374,Coyoacán,2494,Bajo,123.574684720817,0.96531910212279
0900300011389,Coyoacán,3600,Medio,119.991184605909,0.937326142875555
0900300011393,Coyoacán,2828,Bajo,122.538030513931,0.95722114815703
0900300011406,Coyoacán,3216,Bajo,121.994100352794,0.952972169687431
0900300011410,Coyoacán,4242,Muy bajo,124.987456147202,0.976355142780341
0900300011425,Coyoacán,6786,Bajo,121.557543739687,0.949561953114817
090030001143A,Coyoacán,2877,Muy bajo,124.609359849263,0.973401596269845
0900300011444,Coyoacán,2651,Muy bajo,125.139756492861,0.977544855974887
0900300011459,Coyoacán,2436,Muy bajo,123.762809143797,0.966788659576963
0900300011463,Coyoacán,2844,Muy bajo,124.704474053875,0.974144592772752
0900300011478,Coyoacán,3845,Bajo,122.278685739272,0.955195244019945
0900300011482,Coyoacán,4758,Bajo,123.567617516023,0.965263895768824
0900300011497,Coyoacán,5249,Muy bajo,124.242128549758,0.970532923053241
090030001150A,Coyoacán,4541,Bajo,122.50153449097,0.95693605491001
0900300011514,Coyoacán,5908,Muy bajo,123.735860963187,0.966578150494384
0900300011529,Coyoacán,5698,Muy bajo,125.351413397911,0.979198240355377
0900300011548,Coyoacán,1494,Muy bajo,125.381602751924,0.979434068269284
0900300011552,Coyoacán,1688,Muy bajo,124.943089659226,0.976008568411695
0900300011567,Coyoacán,1682,Muy bajo,124.576190016953,0.973142485977029
0900300011571,Coyoacán,2055,Muy bajo,124.247727936755,0.970576663364939
0900300011586,Coyoacán,386,Muy bajo,125.50319630477,0.980383911512036
0900300011590,Coyoacán,1941,Muy bajo,125.154812489113,0.977662467772291
0900300011618,Coyoacán,1151,Muy bajo,125.140631099977,0.977551688077739
0900300011622,Coyoacán,2498,Muy bajo,125.353387442095,0.979213660848362
0900300011637,Coyoacán,2821,Muy bajo,124.962218165965,0.97615799313402
0900300011641,Coyoacán,2483,Muy bajo,124.879133620711,0.975508967819438
0900300011656,Coyoacán,3244,Bajo,123.293227489147,0.963120463762712
0900300011660,Coyoacán,3328,Bajo,123.14507100519,0.961963120862021
0900300011675,Coyoacán,3996,Bajo,122.230545763065,0.954819192576132
090030001168A,Coyoacán,1544,Muy bajo,125.772810836805,0.982490039143042
0900300011694,Coyoacán,1542,Muy bajo,125.482778164462,0.980224412655824
0900300011707,Coyoacán,5005,Muy bajo,124.042456415063,0.968973159205019
0900300011726,Coyoacán,2983,Muy bajo,123.752464131724,0.966707848221558
0900300011730,Coyoacán,645,Muy bajo,125.670882240249,0.981693811165354
0900300011745,Coyoacán,3535,Muy bajo,124.012146503285,0.968736389539056
090030001175A,Coyoacán,3635,Muy bajo,124.359947859881,0.97145328332701
0900300011764,Coyoacán,2890,Muy bajo,124.330219314828,0.971221055079914
0900300011779,Coyoacán,1832,Muy bajo,123.948640160661,0.968240301802481
0900300011783,Coyoacán,3170,Muy bajo,125.739592469291,0.982230549711406
0900300011798,Coyoacán,754,Muy bajo,125.953285716903,0.983899841236448
090040001002A,Cuajimalpa de Morelos,4726,Medio,120.653652614889,0.942501094566172
0900400010049,Cuajimalpa de Morelos,4304,Bajo,122.941977363435,0.960376629483561
0900400010053,Cuajimalpa de Morelos,6459,Bajo,121.67762897658,0.95050001395889
0900400010072,Cuajimalpa de Morelos,2849,Medio,121.093273626878,0.94593524907384
0900400010091,Cuajimalpa de Morelos,11767,Bajo,122.363725016665,0.955859538969063
0900400010104,Cuajimalpa de Morelos,7179,Muy bajo,124.111094863178,0.969509337025377
0900400010119,Cuajimalpa de Morelos,6497,Bajo,122.499219270671,0.95691796927714
0900400010123,Cuajimalpa de Morelos,6200,Bajo,122.280792124133,0.955211698308681
0900400010138,Cuajimalpa de Morelos,7681,Medio,120.576168680856,0.941895819126479
0900400010176,Cuajimalpa de Morelos,9292,Bajo,122.252385014677,0.954989792620998
0900400010180,Cuajimalpa de Morelos,6474,Bajo,123.120094568892,0.961768014306697
0900400010195,Cuajimalpa de Morelos,10984,Bajo,122.53378039877,0.957187947850994
0900400010208,Cuajimalpa de Morelos,7474,Bajo,121.426536576538,0.948538574278056
0900400010212,Cuajimalpa de Morelos,4941,Bajo,122.958400965085,0.960504924501541
0900400010227,Cuajimalpa de Morelos,8867,Medio,120.044350559397,0.937741455369378
0900400010231,Cuajimalpa de Morelos,7804,Medio,120.331814068967,0.939987012520325
0900400010250,Cuajimalpa de Morelos,4220,Medio,120.986572558037,0.945101740332127
090040001027A,Cuajimalpa de Morelos,4578,Bajo,121.880027851817,0.952081078081821
0900400010299,Cuajimalpa de Morelos,10533,Bajo,123.191812347848,0.962328246704978
0900400010301,Cuajimalpa de Morelos,4195,Muy bajo,124.088003644466,0.969328957082961
0900400010320,Cuajimalpa de Morelos,2945,Alto,118.471260520256,0.925453065821207
090040001034A,Cuajimalpa de Morelos,3494,Bajo,122.111184123444,0.953886784202629
0900400010354,Cuajimalpa de Morelos,6409,Bajo,123.134318418334,0.961879125685239
0900400010369,Cuajimalpa de Morelos,14609,Muy bajo,126.057855312304,0.984716699706859
0900400010373,Cuajimalpa de Morelos,14170,Bajo,121.731981573742,0.950924596068155
0900400010392,Cuajimalpa de Morelos,599,Bajo,121.566649845337,0.949633086597774
0900400010405,Cuajimalpa de Morelos,4253,Bajo,121.321546873472,0.947718434084093
090040001041A,Cuajimalpa de Morelos,3190,Bajo,122.744941485338,0.958837459083403
0900400200246,Cuajimalpa de Morelos,9541,Bajo,121.608331369814,0.949958687038306
0900400200316,Cuajimalpa de Morelos,15087,Medio,119.246969506749,0.931512613567915
0900400200388,Cuajimalpa de Morelos,1414,Medio,119.747226057483,0.935420430168666
0900500010012,Gustavo A. Madero,4355,Medio,120.118154141782,0.938317981281962
0900500010027,Gustavo A. Madero,5631,Medio,121.070853587089,0.945760112129512
0900500010050,Gustavo A. Madero,10026,Medio,120.572347198558,0.941865967139646
0900500010084,Gustavo A. Madero,3396,Medio,121.138177447668,0.946286020884952
0900500010099,Gustavo A. Madero,4342,Medio,120.793469520139,0.943593291804975
0900500010101,Gustavo A. Madero,5213,Medio,120.955258872121,0.944857129558968
0900500010135,Gustavo A. Madero,4716,Bajo,121.75452627341,0.951100706808725
090050001014A,Gustavo A. Madero,4456,Medio,120.822579166923,0.94382068545085
0900500010169,Gustavo A. Madero,7933,Bajo,121.366574734541,0.948070174851351
0900500010173,Gustavo A. Madero,4482,Bajo,121.823851874706,0.951642252412084
0900500010188,Gustavo A. Madero,4422,Bajo,121.720626339245,0.950835893233963
0900500010192,Gustavo A. Madero,5552,Bajo,122.412566319001,0.956241068909631
0900500010205,Gustavo A. Madero,6337,Bajo,121.284021028024,0.947425296249946
0900500010224,Gustavo A. Madero,3017,Bajo,122.359554499751,0.955826960454688
0900500010243,Gustavo A. Madero,7379,Medio,121.024394548694,0.945397191541606
0900500010258,Gustavo A. Madero,4738,Medio,121.142335559935,0.946318502498879
0900500010262,Gustavo A. Madero,4022,Medio,121.144987917171,0.946339221719091
0900500010277,Gustavo A. Madero,3195,Bajo,122.956490006011,0.96048999680578
0900500010281,Gustavo A. Madero,2782,Muy bajo,124.535646932936,0.972825778606511
0900500010296,Gustavo A. Madero,2757,Muy bajo,124.396413614272,0.971738140127304
0900500010309,Gustavo A. Madero,2212,Muy bajo,125.015969771961,0.976577880525641
0900500010313,Gustavo A. Madero,3640,Bajo,123.429386246352,0.964184084920629
0900500010328,Gustavo A. Madero,1639,Bajo,121.751153921202,0.951074363257749
0900500010332,Gustavo A. Madero,5616,Medio,120.658313921644,0.942537506946761
0900500010351,Gustavo A. Madero,4655,Medio,120.841965419258,0.943972123585121
0900500010366,Gustavo A. Madero,11779,Muy bajo,124.261354017779,0.97068310520074
0900500010370,Gustavo A. Madero,3064,Bajo,122.306655401354,0.955413732532773
0900500010385,Gustavo A. Madero,6250,Medio,120.970613874447,0.944977077079708
090050001039A,Gustavo A. Madero,5682,Muy bajo,124.540750241164,0.972865643736879
0900500010402,Gustavo A. Madero,5809,Bajo,122.402445670313,0.956162010196867
0900500010417,Gustavo A. Madero,5194,Medio,120.926383173856,0.944631563431204
0900500010421,Gustavo A. Madero,3669,Bajo,122.504188760581,0.95695678906898
0900500010436,Gustavo A. Madero,4302,Bajo,122.330569986664,0.95560054430633
0900500010440,Gustavo A. Madero,5028,Bajo,122.379852917483,0.955985524083016
0900500010455,Gustavo A. Madero,4073,Bajo,122.323971011211,0.955548995584411
0900500010474,Gustavo A. Madero,4984,Bajo,122.728214093747,0.958706790972309
0900500010489,Gustavo A. Madero,4331,Muy bajo,125.640488713291,0.981456388328956
0900500010493,Gustavo A. Madero,2523,Muy bajo,125.261545426392,0.978496225458291
0900500010506,Gustavo A. Madero,3021,Muy bajo,124.512182352841,0.972642482104967
0900500010510,Gustavo A. Madero,812,Muy bajo,125.248803091637,0.978396687116986
0900500010525,Gustavo A. Madero,1550,Bajo,123.640421377954,0.965832612240074
0900500010559,Gustavo A. Madero,2660,Bajo,122.733604598156,0.958748899571559
0900500010563,Gustavo A. Madero,3592,Bajo,122.78609610159,0.95915894351445
0900500010582,Gustavo A. Madero,3163,Muy bajo,123.758359082604,0.966753897367493
0900500010597,Gustavo A. Madero,4646,Bajo,122.205089154138,0.954620335092271
090050001060A,Gustavo A. Madero,1820,Muy bajo,124.198999077386,0.970196011786673
0900500010614,Gustavo A. Madero,747,Muy bajo,125.225745859376,0.978216572663985
0900500010629,Gustavo A. Madero,699,Muy bajo,124.990609186183,0.976379773138614
0900500010633,Gustavo A. Madero,2691,Muy bajo,124.255319447015,0.970635965396621
0900500010667,Gustavo A. Madero,5490,Medio,120.478746464034,0.941134793297588
0900500010671,Gustavo A. Madero,5776,Medio,121.031475310177,0.945452503795345
0900500010703,Gustavo A. Madero,7776,Bajo,121.418134660013,0.948472941656499
0900500010722,Gustavo A. Madero,3178,Muy bajo,124.611707501928,0.973419935252199
0900500010737,Gustavo A. Madero,2901,Muy bajo,123.800369938853,0.96708207042434
0900500010741,Gustavo A. Madero,2303,Muy bajo,124.482409928304,0.972409911087795
0900500010756,Gustavo A. Madero,157,Muy bajo,125.978755744481,0.984098803541782
0900500010760,Gustavo A. Madero,2709,Bajo,121.198220078086,0.946755051400507
0900500010775,Gustavo A. Madero,2175,Bajo,121.622504903757,0.950069405371036
090050001078A,Gustavo A. Madero,2384,Bajo,123.429979435858,0.964188718694628
0900500010794,Gustavo A. Madero,2712,Bajo,122.814672088998,0.959382168413379
0900500010807,Gustavo A. Madero,1554,Muy alto,115.140566717526,0.899434934693772
0900500010811,Gustavo A. Madero,4407,Medio,120.644364581729,0.942428539933718
0900500010826,Gustavo A. Madero,3830,Bajo,121.572577306557,0.949679389702296
0900500010830,Gustavo A. Madero,4501,Medio,119.703711654782,0.9350805119707
0900500010845,Gustavo A. Madero,7846,Medio,120.69527657395,0.942826245327259
